Unnamed: 0;P_HOUSEHOLD;P_HEATPUMP
2020-01-01 23:45:00;7021,857663472498;22215,70408652624
2020-01-02 00:00:00;6632,039333004421;33877,25281121994
2020-01-02 00:15:00;6109,317443339029;29860,28075634643
2020-01-02 00:30:00;5941,186332405937;37655,02045719358
2020-01-02 00:45:00;5399,549668206107;23985,08009342618
2020-01-02 01:00:00;5450,002666982017;32951,07786259122
2020-01-02 01:15:00;5041,92877430386;29069,73688509199
2020-01-02 01:30:00;5016,36633690728;44191,94461931648
2020-01-02 01:45:00;5164,546229086981;35331,072204144795
2020-01-02 02:00:00;4893,290776613025;25725,73456036251
2020-01-02 02:15:00;4959,575109227497;28724,05843379763
2020-01-02 02:30:00;4804,329227617052;38939,0341725349
2020-01-02 02:45:00;4785,215114720661;33930,45225886238
2020-01-02 03:00:00;4345,706997468735;32252,89665448929
2020-01-02 03:15:00;4619,642332119409;25206,244759803343
2020-01-02 03:30:00;4422,062555440269;41356,16666745079
2020-01-02 03:45:00;4278,009889899359;34990,55945913527
2020-01-02 04:00:00;4345,842665651106;31763,612252553303
2020-01-02 04:15:00;4151,562327490913;35552,1078821288
2020-01-02 04:30:00;5201,404342227514;46213,565947733936
2020-01-02 04:45:00;5380,268225140041;37248,02398800322
2020-01-02 05:00:00;5605,483889134727;27006,60878118937
2020-01-02 05:15:00;7388,20722694397;34580,958344342966
2020-01-02 05:30:00;6945,972884114582;47493,48062336179
2020-01-02 05:45:00;5717,7913339826855;43206,81276018359
2020-01-02 06:00:00;6825,482104534576;40292,66819897756
2020-01-02 06:15:00;7185,217326524527;34560,41709729299
2020-01-02 06:30:00;7680,785104751593;40291,950381660456
2020-01-02 06:45:00;5198,987886301676;38521,56523383856
2020-01-02 07:00:00;6111,305995347764;38222,32658224901
2020-01-02 07:15:00;5926,401339721678;30665,92557760874
2020-01-02 07:30:00;7205,511442862616;50288,29928283694
2020-01-02 07:45:00;5425,227113638984;42830,37787386578
2020-01-02 08:00:00;5407,034331639608;33363,89035339353
2020-01-02 08:15:00;5894,3896695878775;49799,27739080983
2020-01-02 08:30:00;5606,314551798499;46931,05482972464
2020-01-02 08:45:00;4729,438334740534;39229,68219324885
2020-01-02 09:00:00;8209,878890016345;43008,10215072101
2020-01-02 09:15:00;7254,200567287865;43754,41824305849
2020-01-02 09:30:00;9468,650889756946;51821,08307856455
2020-01-02 09:45:00;12349,75219362048;41423,53604759641
2020-01-02 10:00:00;10891,153643714051;49617,33303394317
2020-01-02 10:15:00;9217,375668080644;54973,23123041784
2020-01-02 10:30:00;9983,427663760713;56446,12741124899
2020-01-02 10:45:00;10089,338688617285;41785,63356084825
2020-01-02 11:00:00;17372,41301193237;40476,22306507954
2020-01-02 11:15:00;13824,66909980775;36581,22697723175
2020-01-02 11:30:00;11665,025880771213;39522,75064136718
2020-01-02 11:45:00;11150,437672551474;35827,44056407075
2020-01-02 12:00:00;8289,108779186672;29050,817201052763
2020-01-02 12:15:00;12933,32821447584;36027,32390874228
2020-01-02 12:30:00;13704,71002027724;30863,87041842144
2020-01-02 12:45:00;12357,54133037991;32402,507028018103
2020-01-02 13:00:00;10943,66265886095;29227,052605565383
2020-01-02 13:15:00;16658,74131393433;38693,56424342262
2020-01-02 13:30:00;9884,97445098029;31326,07957826192
2020-01-02 13:45:00;10766,992210218648;29098,07490201525
2020-01-02 14:00:00;7476,578665839301;36086,03411682974
2020-01-02 14:15:00;9287,172656928164;37576,33269001642
2020-01-02 14:30:00;6839,803877046375;31158,95311763552
2020-01-02 14:45:00;7135,384993489584;35568,19846213665
2020-01-02 15:00:00;6530,917112816702;35259,510520034375
2020-01-02 15:15:00;10888,40855556064;40030,21742285624
2020-01-02 15:30:00;11713,40955204434;31940,997419569223
2020-01-02 15:45:00;12080,415906863753;43315,81674569447
2020-01-02 16:00:00;9507,68877003987;34199,56300609379
2020-01-02 16:15:00;10191,198774253004;45924,11923308903
2020-01-02 16:30:00;9883,786560482447;35051,73667590885
2020-01-02 16:45:00;13258,572551812063;42924,63650862377
2020-01-02 17:00:00;14584,711879475914;32566,423591642244
2020-01-02 17:15:00;14072,870778656;37049,58952496848
2020-01-02 17:30:00;13104,19055561489;36046,89801768198
2020-01-02 17:45:00;11188,632996029311;35955,45926294328
2020-01-02 18:00:00;13703,268997743393;45041,07643269438
2020-01-02 18:15:00;13697,822888522667;31844,067638948203
2020-01-02 18:30:00;12738,177905358214;46469,11973150047
2020-01-02 18:45:00;12710,509317779544;26249,085099464
2020-01-02 19:00:00;13299,109668816458;28342,46856250764
2020-01-02 19:15:00;13547,559116956923;29260,4320289506
2020-01-02 19:30:00;12279,19255939059;37949,24259058636
2020-01-02 19:45:00;11319,38831159804;38412,29351377488
2020-01-02 20:00:00;12578,858197996356;24471,39658559162
2020-01-02 20:15:00;12282,742997656926;44198,98431978219
2020-01-02 20:30:00;8019,4895553165;41886,27601627773
2020-01-02 20:45:00;7777,193787299264;26436,573325263133
2020-01-02 21:00:00;8582,605556869508;46401,44271984102
2020-01-02 21:15:00;9301,10076455011;20381,109535535168
2020-01-02 21:30:00;8264,626328870985;38763,472396458514
2020-01-02 21:45:00;8226,972890853884;36341,52694306906
2020-01-02 22:00:00;8347,262117173934;22109,51249092949
2020-01-02 22:15:00;7618,962009514704;39169,31474801165
2020-01-02 22:30:00;7056,498893737791;30787,16664302616
2020-01-02 22:45:00;7388,682884852085;24078,55632564757
2020-01-02 23:00:00;6808,166784244107;34882,19526412751
2020-01-02 23:15:00;7008,144441138372;29448,56407821444
2020-01-02 23:30:00;9202,653436491224;30103,79033425648
2020-01-02 23:45:00;6817,102333026463;34243,366252634296
2020-01-03 00:00:00;6455,693783018324;19045,635221883946
2020-01-03 00:15:00;7014,113233142431;36096,60341040292
2020-01-03 00:30:00;6948,9108861287405;35137,73847144443
2020-01-03 00:45:00;5433,806441836886;29984,92208010356
2020-01-03 01:00:00;7042,72032970853;33510,61451145808
2020-01-03 01:15:00;4802,020006010269;21788,579777166586
2020-01-03 01:30:00;4457,162441592747;32170,006660842904
2020-01-03 01:45:00;4181,535220675997;38188,201639938365
2020-01-03 02:00:00;4423,5864405738;26689,11419939465
2020-01-03 02:15:00;4773,953222274779;28301,12961327234
2020-01-03 02:30:00;4942,174884838524;23389,479430686104
