Line Constraint Violations:
Line 4: Time Step 13, 39 violations
Line 4: Time Step 133, 5 violations
Line 4: Time Step 61, 6 violations
Line 4: Time Step 131, 8 violations
Line 4: Time Step 134, 22 violations
Line 4: Time Step 37, 20 violations
Line 4: Time Step 86, 27 violations
Line 4: Time Step 10, 1 violations
Line 4: Time Step 157, 2 violations
Line 4: Time Step 45, 1 violations
Line 4: Time Step 107, 1 violations
Line 4: Time Step 155, 4 violations
Line 4: Time Step 154, 5 violations
Line 4: Time Step 21, 1 violations
Line 4: Time Step 52, 1 violations
Line 4: Time Step 110, 2 violations
Line 4: Time Step 11, 2 violations
Line 4: Time Step 60, 1 violations
Line 4: Time Step 84, 1 violations
Line 4: Time Step 7, 1 violations
Line 4: Time Step 38, 1 violations
Line 4: Time Step 62, 1 violations
Line 4: Time Step 83, 2 violations
Line 4: Time Step 156, 1 violations
Line 4: Time Step 125, 1 violations
Line 4: Time Step 135, 1 violations
Line 4: Time Step 106, 1 violations
Line 4: Time Step 118, 1 violations
Line 4: Time Step 130, 1 violations
Line 4: Time Step 109, 1 violations
Line 19: Time Step 13, 20 violations
Line 19: Time Step 133, 3 violations
Line 19: Time Step 61, 4 violations
Line 19: Time Step 131, 8 violations
Line 19: Time Step 158, 1 violations
Line 19: Time Step 86, 12 violations
Line 19: Time Step 157, 2 violations
Line 19: Time Step 107, 1 violations
Line 19: Time Step 155, 3 violations
Line 19: Time Step 154, 5 violations
Line 19: Time Step 21, 1 violations
Line 19: Time Step 52, 1 violations
Line 19: Time Step 110, 2 violations
Line 19: Time Step 11, 2 violations
Line 19: Time Step 84, 1 violations
Line 19: Time Step 7, 1 violations
Line 19: Time Step 37, 6 violations
Line 19: Time Step 38, 1 violations
Line 19: Time Step 83, 2 violations
Line 19: Time Step 156, 1 violations
Line 19: Time Step 125, 1 violations
Line 19: Time Step 106, 1 violations
Line 19: Time Step 118, 1 violations
Line 19: Time Step 130, 1 violations
Line 19: Time Step 109, 1 violations
Line 24: Time Step 13, 41 violations
Line 24: Time Step 133, 7 violations
Line 24: Time Step 61, 6 violations
Line 24: Time Step 131, 8 violations
Line 24: Time Step 10, 2 violations
Line 24: Time Step 134, 27 violations
Line 24: Time Step 37, 20 violations
Line 24: Time Step 158, 8 violations
Line 24: Time Step 86, 31 violations
Line 24: Time Step 62, 2 violations
Line 24: Time Step 157, 3 violations
Line 24: Time Step 45, 1 violations
Line 24: Time Step 107, 2 violations
Line 24: Time Step 159, 16 violations
Line 24: Time Step 12, 1 violations
Line 24: Time Step 14, 1 violations
Line 24: Time Step 130, 2 violations
Line 24: Time Step 155, 5 violations
Line 24: Time Step 38, 5 violations
Line 24: Time Step 109, 2 violations
Line 24: Time Step 154, 5 violations
Line 24: Time Step 21, 1 violations
Line 24: Time Step 35, 2 violations
Line 24: Time Step 52, 1 violations
Line 24: Time Step 110, 3 violations
Line 24: Time Step 11, 2 violations
Line 24: Time Step 60, 1 violations
Line 24: Time Step 84, 1 violations
Line 24: Time Step 7, 1 violations
Line 24: Time Step 156, 3 violations
Line 24: Time Step 36, 1 violations
Line 24: Time Step 83, 2 violations
Line 24: Time Step 125, 1 violations
Line 24: Time Step 135, 1 violations
Line 24: Time Step 132, 1 violations
Line 24: Time Step 78, 1 violations
Line 24: Time Step 106, 1 violations
Line 24: Time Step 118, 1 violations
Line 28: Time Step 13, 40 violations
Line 28: Time Step 133, 5 violations
Line 28: Time Step 61, 6 violations
