index,price
0,185.3468676
1,182.9929007
2,182.2642919
3,177.5003114
4,176.9398431
5,188.9899116
6,251.8744551
7,277.1515755
8,283.1485864
9,272.2194545
10,264.5970856
11,262.467306
12,261.1221821
13,263.3640553
14,269.9215344
15,281.5792751
16,288.9774567
17,406.2834724
18,348.4991904
19,316.8327313
20,272.4436418
21,252.8272512
22,238.8155437
23,207.4853655
24,191.9043467
25,191.5120189
26,186.860132
27,182.5445261
28,187.0282725
29,201.9367294
30,257.9835596
31,284.7178976
32,306.8563956
33,299.121933
34,300.0747291
35,296.824013
36,288.0246606
37,283.4288205
38,290.210487
39,323.558351
40,325.2958027
41,450
42,386.1626604
43,327.4255823
44,283.4288205
45,254.1723751
46,243.5795242
47,210.7360817
48,227.7743181
49,215.6121559
50,195.2671566
51,193.9780795
52,192.2406277
53,204.5148835
54,258.0956533
55,288.7532694
56,293.2930626
57,283.4288205
58,283.4288205
59,285.8388342
60,272.2194545
61,273.5645784
62,277.8241375
63,295.3107485
64,288.1928011
65,363.6878814
66,293.6293436
67,277.8241375
68,254.9009839
69,214.0988915
70,210.5679412
71,193.5857517
72,186.2996637
73,188.0931623
74,177.8365924
75,171.33516
76,166.73932
77,190.6713165
78,226.3731473
79,260.7298543
80,267.7917549
81,260.6738074
82,251.3700336
83,241.5618383
84,233.7152821
85,232.9866733
86,250.0249097
87,256.3021547
88,262.9156807
89,283.26068
90,298.6735584
91,288.9214099
92,250.249097
93,212.8098144
94,225.4763981
95,201.6004484
96,190.6152696
97,179.1817163
98,171.7835347
99,167.8602566
100,168.5328185
101,171.3912069
102,216.0044837
103,263.7003363
104,272.4996886
105,263.7563831
106,255.9658737
107,253.7240005
108,249.7446756
109,240.6090422
110,254.1163283
111,257.8714659
112,260.8979948
113,279.2813551
114,283.7090547
115,270.8182837
116,243.8037115
117,201.9927762
118,227.2698966
119,210.2316602
120,210.6800349
121,202.385104
122,183.9456968
123,182.8247602
124,183.1049944
125,183.1049944
126,184.898493
127,214.4351725
128,238.5913563
129,238.4232158
130,234.6120314
131,238.367169
132,238.8155437
133,216.6209989
134,206.7007099
135,224.3554615
136,236.4615768
137,252.9953917
138,252.9393449
139,225.3082576
140,189.3261926
141,161.1346369
142,160.125794
143,123.9755885
144,25.83758874
145,17.37451737
146,13.05891145
147,3.923278117
148,7.622368913
149,5.997010836
150,8.631211857
151,27.18271267
152,63.72524598
153,85.69560344
154,69.04969486
155,81.60418483
156,78.63370283
157,40.24162411
158,36.15020551
159,98.36218707
160,105.8724623
161,110.8045834
162,123.6393075
163,30.99389712
164,0
165,3.530950305
166,13.11495828
167,8.070743555
