season;dayOfWeek;hour;meanP;stdP;meanQ;stdQ
winter;1;13;14165.158447265625;1488.6301879882812;-119.20773315429688;250.12123489379883
winter;1;14;13843.93896484375;1469.3549194335938;-136.88562393188477;247.3870086669922
winter;1;15;14518.281494140625;1491.0300903320312;-16.79049062728882;250.21030807495117
winter;1;16;15195.507080078125;1516.2802734375;80.92345809936523;245.43387603759766
winter;1;17;15105.503662109375;1526.0350341796875;166.5255889892578;248.77753829956055
winter;1;18;14684.600341796875;1502.2998657226562;139.74325942993164;250.69978713989258
winter;1;19;14314.00244140625;1513.8955078125;88.27802658081055;251.6236686706543
winter;1;20;13724.568603515625;1506.2352905273438;6.683374404907227;254.12302017211914
winter;1;21;13829.743408203125;1518.5994262695312;-107.0587387084961;249.79053497314453
winter;1;22;13766.504638671875;1516.4219970703125;-190.45722198486328;250.17401504516602
winter;1;23;13645.731689453125;1498.677734375;-237.97267913818357;247.08043670654297
winter;2;0;13560.07177734375;1504.177734375;-278.36458587646484;244.32025146484375
winter;2;1;13641.466796875;1505.4201965332031;-248.9559211730957;248.52428436279297
winter;2;2;13586.9873046875;1515.9254760742188;-243.05485916137695;247.5190773010254
winter;2;3;13480.234375;1491.69580078125;-204.67171096801758;245.6981544494629
winter;2;4;13115.513916015625;1513.9545593261719;-161.38002395629883;245.97282791137695
winter;2;5;13414.03515625;1508.084228515625;-127.71382522583008;250.47401428222656
winter;2;6;14549.146484375;1494.4034118652344;-40.67263126373291;248.78579711914062
winter;2;7;15797.2177734375;1509.1791381835938;69.06112575531006;248.62623596191406
winter;2;8;16784.78369140625;1499.6450500488281;135.67043685913086;251.3341293334961
winter;2;9;16493.19287109375;1517.535400390625;79.83396816253662;250.87996292114258
winter;2;10;15932.470458984375;1504.4631042480469;-11.95223093032837;251.66305923461914
winter;2;11;15248.34912109375;1496.2747192382812;-72.15238952636719;248.14995956420898
winter;2;12;14733.80078125;1511.1174011230469;-116.91644287109375;251.04987716674805
winter;2;13;14276.385009765625;1495.4784240722656;-132.76105880737305;250.21949768066406
winter;2;14;14362.37353515625;1498.493896484375;-120.38827514648438;251.1045379638672
winter;2;15;15251.64599609375;1526.1253051757812;-22.410181403160095;252.93892669677734
winter;2;16;15318.221923828125;1522.2120056152344;87.00035381317139;249.6816062927246
winter;2;17;15411.646484375;1517.1435546875;138.43919563293457;254.16484832763672
winter;2;18;14864.414306640625;1517.7906188964844;129.3558120727539;251.77873611450195
winter;2;19;14344.222412109375;1518.9230041503906;59.80039024353027;252.02608108520508
winter;2;20;13621.18359375;1514.4541931152344;-13.277415931224823;253.19961166381833
winter;2;21;12986.2900390625;1499.8765563964844;-88.40323257446289;251.24871826171875
winter;2;22;12959.687744140625;1481.5066223144531;-187.56958389282227;250.29051208496094
winter;2;23;13136.178955078125;1492.31982421875;-223.2322883605957;249.41095733642578
winter;3;0;12931.6533203125;1491.3084106445312;-224.4332160949707;249.21691513061523
winter;3;1;12788.7451171875;1510.1658325195312;-198.28558349609375;246.3940658569336
winter;3;2;12823.175537109375;1508.7734985351562;-160.68844985961914;248.6868667602539
winter;3;3;13009.406005859375;1507.4244079589844;-133.7469081878662;246.22246170043945
winter;3;4;13008.90576171875;1495.8438110351562;-83.74291038513184;250.4850959777832
winter;3;5;13165.049072265625;1493.1312561035156;-49.70719242095947;248.94788360595703
winter;3;6;13999.262939453125;1503.0445861816406;35.43005323410034;249.73888397216797
