season;dayOfWeek;hour;meanP;stdP;meanQ;stdQ
winter;1;5;6062.248779296875;2386.2923583984375;-1043.0394897460938;403.2152862548828
winter;1;6;6742.5213623046875;2373.4915771484375;-1000.2303619384766;402.92633056640625
winter;1;7;7555.5191650390625;2415.7093505859375;-868.6163940429688;399.7604675292969
winter;1;8;8299.4814453125;2371.2633056640625;-686.5264282226562;408.8279113769531
winter;1;9;8812.96923828125;2380.9561767578125;-525.3934326171875;406.18408966064453
winter;1;10;9441.77099609375;2365.6864013671875;-419.23824310302734;402.93077087402344
winter;1;11;10227.139892578125;2390.0182495117188;-432.39891815185547;408.9269027709961
winter;1;12;10570.216064453125;2373.96435546875;-506.44066619873047;405.4337921142578
winter;1;13;10293.064697265625;2419.1598510742188;-598.2538909912109;404.40567779541016
winter;1;14;9819.65283203125;2371.8497314453125;-714.1746063232422;409.49720764160156
winter;1;15;10162.834716796875;2420.8942260742188;-785.7960815429688;405.83458709716797
winter;1;16;11777.9541015625;2360.8429565429688;-842.6205291748047;402.94970703125
winter;1;17;13369.042724609375;2426.7290649414062;-915.2240295410156;399.5854797363281
winter;1;18;13857.169677734375;2435.9922485351562;-983.3720397949219;405.9244613647461
winter;1;19;13551.329345703125;2425.7034912109375;-1086.3318176269531;406.4258575439453
winter;1;20;12365.619140625;2434.8660888671875;-1201.1209411621094;400.23583221435547
winter;1;21;10565.421875;2429.4666137695312;-1275.6119079589844;405.52344512939453
winter;1;22;8714.031005859375;2421.3374633789062;-1290.2074584960938;401.60021209716797
winter;1;23;7044.559814453125;2404.0691528320312;-1270.4395446777344;409.08507537841797
winter;2;0;5652.2469482421875;2392.7301635742188;-1191.9534606933594;398.11022186279297
winter;2;1;4964.11767578125;2383.8685302734375;-1145.1969299316406;402.1144104003906
winter;2;2;4899.5877685546875;2382.7921142578125;-1123.5400695800781;403.08423614501953
winter;2;3;5070.880615234375;2415.1578369140625;-1096.5628051757812;400.39801025390625
winter;2;4;5490.6678466796875;2385.7914428710938;-1058.2139587402344;397.5020751953125
winter;2;5;6127.204345703125;2387.2879028320312;-1011.8170013427734;404.8024139404297
winter;2;6;6800.7490234375;2412.5916748046875;-978.717529296875;403.0965042114258
winter;2;7;7431.56005859375;2380.5823974609375;-905.2377319335938;398.4308319091797
winter;2;8;8067.9127197265625;2357.4586181640625;-794.12548828125;403.52123260498047
winter;2;9;8680.130126953125;2404.9660034179688;-642.1988525390625;400.0409469604492
winter;2;10;9396.46435546875;2405.9301147460938;-522.4842681884766;403.89385986328125
winter;2;11;9966.171142578125;2383.7320556640625;-489.6289978027344;404.1580352783203
winter;2;12;10357.34814453125;2391.6840209960938;-546.8911285400391;405.49405670166016
winter;2;13;10292.231201171875;2376.8367919921875;-627.1511535644531;404.02342987060547
winter;2;14;9809.896240234375;2408.9430541992188;-734.9477691650391;405.3193664550781
