index,price
0,261.2513089
1,254.3717277
2,260.7486911
3,246.2198953
4,232.6806283
5,254.0575916
6,325.9790576
7,424.1623037
8,446.104712
9,447.8010471
10,440.591623
11,440.0732984
12,424.2408377
13,419.5445026
14,424.1780105
15,434.3717277
16,428.5287958
17,448.539267
18,441.2356021
19,416.3560209
20,373.1151832
21,333.5968586
22,293.921466
23,260.6230366
24,283.4136126
25,270.973822
26,263.4031414
27,256.1780105
28,259.1623037
29,274.1623037
30,325.4921466
31,422.1675393
32,427.4136126
33,419.7801047
34,388.1465969
35,371.513089
36,353.434555
37,343.9633508
38,353.5759162
39,389.5287958
40,408.4397906
41,450
42,449.2146597
43,438.6910995
44,401.1989529
45,338.5445026
46,325.7120419
47,286.7905759
48,261.9109948
49,246.9109948
50,242.4659686
51,235.0994764
52,233.1361257
53,256.9633508
54,330.8795812
55,382.1151832
56,424.3979058
57,412.8376963
58,385.7591623
59,359.2931937
60,338.026178
61,317.5602094
62,321.7853403
63,330.0157068
64,353.5602094
65,400.3979058
66,402.2041885
67,375.5968586
68,322.539267
69,253.8219895
70,257.2617801
71,223.4764398
72,224.9842932
73,207
74,194.2617801
75,184.0366492
76,192.5183246
77,222.0314136
78,254.6544503
79,291.1099476
80,323.5602094
81,298.5706806
82,235.8848168
83,220.3036649
84,192.6125654
85,163.7120419
86,221.6387435
87,269.6701571
88,275.6230366
89,299.0575916
90,287.2146597
91,282.8795812
92,255.6910995
93,211.3507853
94,210.9424084
95,144.8010471
96,141.5811518
97,125.8586387
98,123.0471204
99,121.8219895
100,125.5287958
101,173.7486911
102,229.539267
103,252.9895288
104,293.8586387
105,262.3193717
106,208.9319372
107,204.408377
108,194.9371728
109,192.2356021
110,246.6596859
111,294.1570681
112,306.2984293
113,364.5549738
114,361.4764398
115,321.078534
116,290.7958115
117,274.0680628
118,258.2041885
119,243.4554974
120,301.7434555
121,275.1518325
122,258.7225131
123,239.9057592
124,248.0575916
125,252.3769634
126,251.8900524
127,274.1780105
128,287.3403141
129,314.2931937
130,302.3403141
131,290.6073298
132,280.4136126
133,267.1727749
134,272.026178
135,289.1308901
136,308.513089
137,361.4136126
138,372.4554974
139,363.6282723
140,335.6858639
141,298.7434555
142,287.3560209
143,281.9528796
144,307.8848168
145,292.3036649
146,250.6649215
147,238.8691099
148,227.8743455
149,213.6282723
150,139.4921466
151,140.6544503
152,150.7225131
153,156.3769634
154,150.9267016
155,160.0994764
156,146.2460733
157,145.4293194
158,114.2984293
159,144.5811518
160,133.6649215
161,150.0314136
162,129.5811518
163,106.1623037
164,94.61780105
165,105.5340314
166,100.4450262
167,90
