season;dayOfWeek;hour;meanP;stdP;meanQ;stdQ
winter;5;1;-62.00168228149414;2363.2691040039062;0.0827973745763302;5.90640389919281
winter;5;2;-66.42443323135376;2378.765380859375;-0.037868453189730616;5.991285681724548
winter;5;3;45.213040351867676;2343.1844482421875;-0.0022374149411916976;5.920345664024353
winter;5;4;-27.708348751068115;2369.6239013671875;0.07560678385198115;5.894648194313049
winter;5;5;48.833858251571655;2380.1760864257812;-0.006853975588455824;5.8927881717681885
winter;5;6;34.98212671279907;2377.578125;0.08338171243667603;5.9299076795578
winter;5;7;133.49141311645508;2346.1149291992188;-0.009062112076207999;5.971352577209473
winter;5;8;332.69410705566406;2365.3983764648438;0.27881845086812973;5.878564715385437
winter;5;9;2088.5482788085938;2426.185791015625;1.4942200034856796;5.85499119758606
winter;5;10;4732.9197998046875;2427.1796875;3.2996057271957397;5.9336559772491455
winter;5;11;5715.9395751953125;2438.9638671875;4.204148650169373;5.864153265953064
winter;5;12;6239.3824462890625;2405.1166381835938;4.488036036491394;5.943657398223877
winter;5;13;4796.659423828125;2396.1904907226562;3.2771844267845154;5.908038854598999
winter;5;14;3317.8505859375;2449.0952758789062;2.4302494525909424;5.88849151134491
winter;5;15;1533.8870239257812;2398.8309936523438;1.0810477286577225;5.854648113250732
winter;5;16;256.537109375;2368.5377807617188;0.17695755138993266;5.900401830673218
winter;5;17;81.27977275848389;2399.2021484375;0.10035463050007817;5.9273645877838135
winter;5;18;58.92917275428772;2346.84423828125;-0.06902286130934954;5.814383029937744
winter;5;19;-14.196885108947754;2401.0410766601562;0.012853367719799275;5.878026485443115
winter;5;20;46.77063703536987;2341.9725952148438;0.11553633678704495;5.972423434257507
winter;5;21;3.660453677177429;2399.3855590820312;-0.026463880669325597;5.8549171686172485
winter;5;22;9.050146102905273;2361.9571533203125;-0.10959092341363427;6.0024532079696655
winter;5;23;-6.10509729385376;2383.8565063476562;0.041993027552962275;5.870416045188904
winter;6;0;-8.349519729614256;2355.3118896484375;-0.031142439693212523;5.925867915153503
winter;6;1;-73.75268363952637;2353.9136352539062;0.02121798042207955;5.844085097312927
winter;6;2;2.053546667098999;2365.440185546875;-0.04306279495358466;5.911352753639221
winter;6;3;32.62679195404053;2385.5049438476562;-0.0460031945258379;5.869198441505432
winter;6;4;31.752047538757324;2372.7633666992188;0.0160315539687872;5.985437750816345
winter;6;5;38.56357765197754;2376.4132690429688;0.003937853965908277;5.980931043624878
winter;6;6;70.66569328308105;2370.2410888671875;0.05481429770588872;5.9434568881988525
winter;6;7;82.01982116699219;2376.5543212890625;0.13716543093323702;5.906497597694397
winter;6;8;417.5668258666992;2399.8983154296875;0.28570358082652086;5.900455355644226
winter;6;9;2348.626007080078;2379.9815673828125;1.5969057977199554;5.826203346252441
winter;6;10;4975.1934814453125;2402.5938720703125;3.446738600730896;5.981072306632996
winter;6;11;5604.0606689453125;2446.0160522460938;3.9006659388542175;5.880355715751648
winter;6;12;5626.9595947265625;2412.9946899414062;3.7823973298072815;5.935821771621704
winter;6;13;5174.7457275390625;2404.7205810546875;3.4658724665641785;5.8939971923828125
winter;6;14;3451.996826171875;2431.354248046875;2.3555524945259094;5.890741229057312
winter;6;15;1507.7049865722656;2394.66015625;1.1697483956813812;5.885459899902344
winter;6;16;294.5746383666992;2362.642578125;0.26481878384947777;5.918730616569519
winter;6;17;122.56035232543944;2355.3407592773438;0.07716864440590143;5.884866118431091
winter;6;18;-43.63986158370972;2358.6177368164062;0.05789749883115287;5.908236503601074
winter;6;19;-54.959229469299316;2398.6412353515625;0.09923391230404378;5.867975354194641
winter;6;20;-50.03460741043091;2319.3078002929688;-0.08384193386882544;5.9130706787109375
winter;6;21;-8.9489004611969;2359.8448486328125;0.04691745527088642;5.913868427276611
winter;6;22;-21.753411531448364;2360.6577758789062;0.05386355193331838;5.894330024719238
winter;6;23;7.1146159172058105;2381.5337524414062;0.056584252975881065;5.969315409660339
summer;0;0;-76.6580867767334;2352.1427612304688;-0.07371491007506842;5.842265725135803
summer;0;1;-30.15726089477539;2347.1123046875;-0.03880189603660256;5.968707323074341
summer;0;2;-35.29751372337341;2381.5875854492188;-0.033816318493336425;5.935706615447998
summer;0;3;-1.1901206970214844;2382.9526977539062;-0.06243467982858418;5.936505317687988
summer;0;4;50.53260517120361;2388.4390258789062;-0.004506235243752599;5.83712100982666
summer;0;5;105.94602966308594;2368.568115234375;0.10540472483262417;5.91484010219574
summer;0;6;506.2220878601074;2379.7724609375;0.3716372475028038;5.88517689704895
summer;0;7;2651.597930908203;2413.033935546875;1.8042052388191223;5.926792144775391
summer;0;8;6222.647216796875;2418.3192749023438;4.446375668048859;5.8560179471969604
summer;0;9;10603.728515625;2439.072021484375;7.62633490562439;6.003633975982666
summer;0;10;16801.871826171875;2502.2799682617188;12.077739238739014;5.903542399406433
summer;0;11;20886.6748046875;2556.1731567382812;15.21076488494873;6.005508661270142
summer;0;12;24032.7587890625;2541.2171020507812;17.595451831817627;6.003877758979797
summer;0;13;22430.08056640625;2532.846435546875;16.27332329750061;6.002844214439392
summer;0;14;21184.8583984375;2538.2112426757812;15.369134664535522;5.991527557373047
summer;0;15;19069.498046875;2521.2349853515625;13.795867681503296;6.01042115688324
summer;0;16;13471.263916015625;2460.5047607421875;9.636223316192627;5.963384985923767
