index,price
0,132.4947067
1,118.9313738
2,110.0199278
3,104.1910574
4,100.7161539
5,122.9106987
6,170.9428322
7,200.9278864
8,205.2434923
9,204.3467431
10,194.2583136
11,193.7538921
12,194.3143604
13,188.9899116
14,181.9840578
15,176.9398431
16,174.2495952
17,188.1492091
18,216.1726242
19,247.1104745
20,233.3790011
21,204.4588367
22,207.1490846
23,182.0961515
24,170.5505044
25,152.2231909
26,144.264541
27,142.1347615
28,139.6126541
29,143.8722132
30,177.6684519
31,218.3584506
32,260.4496201
33,235.1724997
34,223.5708058
35,229.119442
36,220.3761365
37,199.1904347
38,183.7215095
39,176.1551874
40,175.0342508
41,192.2406277
42,217.9661228
43,243.6916179
44,231.0810811
45,214.267032
46,198.9102005
47,176.6035621
48,182.8247602
49,173.4649396
50,160.6862623
51,154.0727363
52,151.88691
53,164.3853531
54,204.7390709
55,294.2458588
56,319.9713538
57,239.376012
58,221.7212604
59,218.3584506
60,205.1313987
61,205.019305
62,199.6388093
63,191.4559721
64,188.1492091
65,227.7182713
66,258.6561216
67,268.4643169
68,240.3848549
69,225.7566322
70,208.2700212
71,180.8631212
72,158.6685764
73,144.7689625
74,134.9607672
75,131.0935359
76,131.6540042
77,139.4445136
78,164.9458214
79,197.0606551
80,208.2700212
81,210.1756134
82,209.0546768
83,209.8393324
84,206.1402416
85,193.7538921
86,183.4973222
87,181.4796363
88,175.3705318
89,188.7096774
90,199.3585752
91,210.5118944
92,206.6446631
93,202.5532445
94,195.435297
95,171.2230664
96,160.6862623
97,140.2291693
98,133.5035496
99,128.0670071
100,127.6186325
101,132.4947067
102,171.671441
103,201.2081206
104,215.0516876
105,205.4116328
106,196.8925146
107,189.9987545
108,178.1728733
109,162.3676672
110,153.9045958
111,144.937103
112,138.0993897
113,163.7127911
114,185.9633827
115,193.7538921
116,194.9869224
117,194.4825009
118,199.3585752
119,179.7421846
120,152.8397061
121,141.7984805
122,130.9814423
123,124.4239631
124,117.9785777
125,115.5125171
126,125.6569934
127,131.7660979
128,138.659858
129,135.8575165
130,126.8339768
131,123.6953543
132,118.0906713
133,103.5184955
134,88.7781791
135,91.07609914
136,109.5715531
137,135.8575165
138,161.8071989
139,176.2112343
140,188.1492091
141,198.0694981
142,199.0222942
143,180.1905592
144,171.9516752
145,143.7040727
146,127.3383983
147,116.7455474
148,93.99053431
149,73.42134761
150,64.73408893
151,66.24735334
152,81.66023166
153,79.86673309
154,90.6277245
155,98.47428073
156,107.5538672
157,76.50392328
158,49.4893511
159,50.27400673
160,68.48922655
161,119.9962635
162,142.3589488
163,169.1493337
164,172.4560966
165,176.0430938
166,187.7568813
167,170.7746917
