Line Constraint Violations:
Line 4: Time Step 12, 4 violations
Line 4: Time Step 35, 8 violations
Line 4: Time Step 59, 18 violations
Line 4: Time Step 60, 9 violations
Line 4: Time Step 61, 9 violations
Line 4: Time Step 70, 1 violations
Line 4: Time Step 78, 3 violations
Line 4: Time Step 95, 2 violations
Line 4: Time Step 120, 3 violations
Line 4: Time Step 146, 3 violations
Line 4: Time Step 10, 2 violations
Line 4: Time Step 14, 9 violations
Line 4: Time Step 86, 6 violations
Line 4: Time Step 110, 7 violations
Line 4: Time Step 4, 1 violations
Line 4: Time Step 28, 7 violations
Line 4: Time Step 57, 6 violations
Line 4: Time Step 5, 3 violations
Line 4: Time Step 23, 1 violations
Line 4: Time Step 30, 2 violations
Line 4: Time Step 45, 1 violations
Line 4: Time Step 48, 3 violations
Line 4: Time Step 108, 1 violations
Line 4: Time Step 109, 1 violations
Line 4: Time Step 122, 5 violations
Line 4: Time Step 37, 6 violations
Line 4: Time Step 38, 9 violations
Line 4: Time Step 49, 6 violations
Line 4: Time Step 73, 3 violations
Line 4: Time Step 1, 5 violations
Line 4: Time Step 13, 4 violations
Line 4: Time Step 21, 1 violations
Line 4: Time Step 27, 3 violations
Line 4: Time Step 75, 2 violations
Line 4: Time Step 134, 1 violations
Line 4: Time Step 155, 2 violations
Line 4: Time Step 36, 9 violations
Line 4: Time Step 43, 1 violations
Line 4: Time Step 50, 2 violations
Line 4: Time Step 101, 1 violations
Line 4: Time Step 128, 1 violations
Line 4: Time Step 141, 1 violations
Line 4: Time Step 148, 1 violations
Line 4: Time Step 153, 2 violations
Line 4: Time Step 26, 4 violations
Line 4: Time Step 51, 3 violations
Line 4: Time Step 25, 4 violations
Line 4: Time Step 144, 1 violations
Line 4: Time Step 145, 1 violations
Line 4: Time Step 47, 1 violations
Line 4: Time Step 133, 3 violations
Line 4: Time Step 151, 2 violations
Line 4: Time Step 157, 3 violations
Line 4: Time Step 24, 2 violations
Line 4: Time Step 71, 2 violations
Line 4: Time Step 63, 1 violations
Line 4: Time Step 74, 2 violations
Line 4: Time Step 77, 1 violations
Line 4: Time Step 83, 1 violations
Line 4: Time Step 97, 5 violations
