index,price
0,195.0990161
1,193.809939
2,188.5975838
3,183.1049944
4,179.7421846
5,195.0429692
6,258.9363557
7,316.8887782
8,339.4756508
9,322.7176485
10,286.9597708
11,273.1722506
12,249.5765351
13,244.308133
14,244.8125545
15,255.1251713
16,261.0100884
17,316.5524972
18,322.9418358
19,305.9596463
20,276.0306389
21,235.8450617
22,227.3819903
23,193.9220326
24,189.1020052
25,188.2052559
26,184.1138373
27,184.898493
28,187.5887408
29,188.1492091
30,216.0605306
31,282.1397434
32,296.6558725
33,272.6117823
34,239.1518246
35,222.3938224
36,212.1932993
37,216.7330925
38,241.9541661
39,270.5940964
40,283.26068
41,315.9920289
42,313.0775937
43,287.3520986
44,248.3995516
45,229.7359572
46,213.4823764
47,188.2052559
48,197.6771703
49,193.0252833
50,185.9073359
51,184.898493
52,186.1315232
53,188.1492091
54,222.4498692
55,279.2813551
56,320.0274007
57,286.231162
58,262.5233528
59,255.5174991
60,243.1871964
61,246.7181467
62,283.2046332
63,296.8800598
64,314.983186
65,351.0773446
66,368.0034874
67,337.1216839
68,297.5526217
69,266.6708183
70,249.7446756
71,234.1076099
72,227.9424586
73,223.0663844
74,218.0782165
75,206.7567568
76,208.326068
77,238.4232158
78,266.6147715
79,332.4137502
80,376.5786524
81,366.7144103
82,348.8915182
83,325.0155686
84,313.4699215
85,304.0540541
86,290.1544402
87,303.2693984
88,310.0510649
89,352.6466559
90,387.9001121
91,341.717524
92,314.4227176
93,267.5115207
94,249.2402541
95,235.8450617
96,206.2523353
97,213.930751
98,209.2228173
99,199.9190435
100,207.5974592
101,208.662349
102,252.8272512
103,329.8916428
104,377.2512143
105,367.4990659
106,345.7528958
107,332.9742185
108,320.4757753
109,301.8682277
110,294.6381866
111,300.5791506
112,305.9035995
113,343.9033504
114,368.0595342
115,338.2986673
116,278.7769336
117,251.5942209
118,248.1193175
119,231.1371279
120,206.028148
121,199.8629966
122,210.623988
123,200.1432308
124,188.7657242
125,188.2052559
126,194.4264541
127,211.1284095
128,240.9453232
129,255.2372649
130,260.7859011
131,254.7888903
132,247.951177
133,233.7713289
134,225.1961639
135,235.8450617
136,247.1665214
137,262.4112592
138,283.3727737
139,260.1133391
140,244.2520862
141,217.573795
142,230.5766596
143,205.0753518
144,195.9397185
145,191.7362063
146,184.7863993
147,170.4384108
148,167.5800224
149,165.9546643
150,171.4472537
151,168.4767717
152,177.8926392
153,197.1727488
154,221.3289326
155,233.8834226
156,237.8067007
157,217.4617013
158,205.1313987
159,196.8925146
160,203.8983684
161,227.3259435
162,238.5913563
163,201.9927762
164,178.4531075
165,157.491593
166,166.2348985
167,157.3234525
